file	record_id	plasmid	feature_label	feature_key	location_1based	strand	length_bp	source_note	caveat
annotated_features_fasta/pFA6a-3HA-kanMX6__T7_promoter__promoter__1886-1904_revcomp.fasta	pFA6a-3HA-kanMX6|T7 promoter|promoter|1886..1904|strand=-|length=19bp	pFA6a-3HA-kanMX6	T7 promoter	promoter	1886..1904	-	19	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__ori__rep_origin__2162-2750_revcomp.fasta	pFA6a-3HA-kanMX6|ori|rep_origin|2162..2750|strand=-|length=589bp	pFA6a-3HA-kanMX6	ori	rep_origin	2162..2750	-	589	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__AmpR__CDS__2924-3781_revcomp.fasta	pFA6a-3HA-kanMX6|AmpR|CDS|2924..3781|strand=-|length=858bp	pFA6a-3HA-kanMX6	AmpR	CDS	2924..3781	-	858	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__AmpR_promoter__promoter__3782-3886_revcomp.fasta	pFA6a-3HA-kanMX6|AmpR promoter|promoter|3782..3886|strand=-|length=105bp	pFA6a-3HA-kanMX6	AmpR promoter	promoter	3782..3886	-	105	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__SP6_promoter__promoter__4232-4248_plus.fasta	pFA6a-3HA-kanMX6|SP6 promoter|promoter|4232..4248|strand=+|length=17bp	pFA6a-3HA-kanMX6	SP6 promoter	promoter	4232..4248	+	17	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
full_plasmids_fasta/pFA6a-13Myc-kanMX6__full_plasmid.fasta	pFA6a-13Myc-kanMX6|full_plasmid|length=4675bp	pFA6a-13Myc-kanMX6	full_plasmid	source/plasmid	1..4675	+	4675	NovoPro V010315	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-13Myc-kanMX6__Myc__CDS__66-95_plus.fasta	pFA6a-13Myc-kanMX6|Myc|CDS|66..95|strand=+|length=30bp	pFA6a-13Myc-kanMX6	Myc	CDS	66..95	+	30	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__ADH1_terminator__terminator__618-805_plus.fasta	pFA6a-13Myc-kanMX6|ADH1 terminator|terminator|618..805|strand=+|length=188bp	pFA6a-13Myc-kanMX6	ADH1 terminator	terminator	618..805	+	188	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__kanMX__gene__852-2208_plus.fasta	pFA6a-13Myc-kanMX6|kanMX|gene|852..2208|strand=+|length=1357bp	pFA6a-13Myc-kanMX6	kanMX	gene	852..2208	+	1357	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__T7_promoter__promoter__2313-2331_revcomp.fasta	pFA6a-13Myc-kanMX6|T7 promoter|promoter|2313..2331|strand=-|length=19bp	pFA6a-13Myc-kanMX6	T7 promoter	promoter	2313..2331	-	19	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__ori__rep_origin__2589-3177_revcomp.fasta	pFA6a-13Myc-kanMX6|ori|rep_origin|2589..3177|strand=-|length=589bp	pFA6a-13Myc-kanMX6	ori	rep_origin	2589..3177	-	589	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__AmpR__CDS__3351-4208_revcomp.fasta	pFA6a-13Myc-kanMX6|AmpR|CDS|3351..4208|strand=-|length=858bp	pFA6a-13Myc-kanMX6	AmpR	CDS	3351..4208	-	858	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__AmpR_promoter__promoter__4209-4313_revcomp.fasta	pFA6a-13Myc-kanMX6|AmpR promoter|promoter|4209..4313|strand=-|length=105bp	pFA6a-13Myc-kanMX6	AmpR promoter	promoter	4209..4313	-	105	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__SP6_promoter__promoter__4659-4675_plus.fasta	pFA6a-13Myc-kanMX6|SP6 promoter|promoter|4659..4675|strand=+|length=17bp	pFA6a-13Myc-kanMX6	SP6 promoter	promoter	4659..4675	+	17	NovoPro V010315	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-13Myc-kanMX6__13Myc_full_ORF_INFERRED__66-590_plus.fasta	pFA6a-13Myc-kanMX6|13Myc_full_ORF_INFERRED|CDS_like|66..590|strand=+|length=525bp	pFA6a-13Myc-kanMX6	13Myc_full_ORF_INFERRED	CDS_like	66..590	+	525	NovoPro V010315	INFERRED: the GenBank file annotates only one Myc repeat at 66..95; this file gives the full upstream 13-Myc ORF without stop codon, based on repeat translation and plasmid name.
full_plasmids_fasta/pFA6a-5FLAG-kanMX6__full_plasmid.fasta	pFA6a-5FLAG-kanMX6|full_plasmid|length=4312bp	pFA6a-5FLAG-kanMX6	full_plasmid	source/plasmid	1..4312	+	4312	NovoPro V010310/SnapGene sequence-author Noguchi Lab	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-5FLAG-kanMX6__5xFLAG__CDS__69-200_plus.fasta	pFA6a-5FLAG-kanMX6|5xFLAG|CDS|69..200|strand=+|length=132bp	pFA6a-5FLAG-kanMX6	5xFLAG	CDS	69..200	+	132	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__ADH1_terminator__terminator__227-414_plus.fasta	pFA6a-5FLAG-kanMX6|ADH1 terminator|terminator|227..414|strand=+|length=188bp	pFA6a-5FLAG-kanMX6	ADH1 terminator	terminator	227..414	+	188	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__kanMX__gene__489-1845_plus.fasta	pFA6a-5FLAG-kanMX6|kanMX|gene|489..1845|strand=+|length=1357bp	pFA6a-5FLAG-kanMX6	kanMX	gene	489..1845	+	1357	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__T7_promoter__promoter__1950-1968_revcomp.fasta	pFA6a-5FLAG-kanMX6|T7 promoter|promoter|1950..1968|strand=-|length=19bp	pFA6a-5FLAG-kanMX6	T7 promoter	promoter	1950..1968	-	19	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__ori__rep_origin__2226-2814_revcomp.fasta	pFA6a-5FLAG-kanMX6|ori|rep_origin|2226..2814|strand=-|length=589bp	pFA6a-5FLAG-kanMX6	ori	rep_origin	2226..2814	-	589	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__AmpR__CDS__2988-3845_revcomp.fasta	pFA6a-5FLAG-kanMX6|AmpR|CDS|2988..3845|strand=-|length=858bp	pFA6a-5FLAG-kanMX6	AmpR	CDS	2988..3845	-	858	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__AmpR_promoter__promoter__3846-3950_revcomp.fasta	pFA6a-5FLAG-kanMX6|AmpR promoter|promoter|3846..3950|strand=-|length=105bp	pFA6a-5FLAG-kanMX6	AmpR promoter	promoter	3846..3950	-	105	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-5FLAG-kanMX6__SP6_promoter__promoter__4296-4312_plus.fasta	pFA6a-5FLAG-kanMX6|SP6 promoter|promoter|4296..4312|strand=+|length=17bp	pFA6a-5FLAG-kanMX6	SP6 promoter	promoter	4296..4312	+	17	NovoPro V010310/SnapGene sequence-author Noguchi Lab	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
full_plasmids_fasta/pFA6a-GST-kanMX6__full_plasmid.fasta	pFA6a-GST-kanMX6|full_plasmid|length=4815bp	pFA6a-GST-kanMX6	full_plasmid	source/plasmid	1..4815	+	4815	NovoPro V010304/SnapGene	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-GST-kanMX6__GST__CDS__63-716_plus.fasta	pFA6a-GST-kanMX6|GST|CDS|63..716|strand=+|length=654bp	pFA6a-GST-kanMX6	GST	CDS	63..716	+	654	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__ADH1_terminator__terminator__758-945_plus.fasta	pFA6a-GST-kanMX6|ADH1 terminator|terminator|758..945|strand=+|length=188bp	pFA6a-GST-kanMX6	ADH1 terminator	terminator	758..945	+	188	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__kanMX__gene__992-2348_plus.fasta	pFA6a-GST-kanMX6|kanMX|gene|992..2348|strand=+|length=1357bp	pFA6a-GST-kanMX6	kanMX	gene	992..2348	+	1357	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__T7_promoter__promoter__2453-2471_revcomp.fasta	pFA6a-GST-kanMX6|T7 promoter|promoter|2453..2471|strand=-|length=19bp	pFA6a-GST-kanMX6	T7 promoter	promoter	2453..2471	-	19	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__ori__rep_origin__2729-3317_revcomp.fasta	pFA6a-GST-kanMX6|ori|rep_origin|2729..3317|strand=-|length=589bp	pFA6a-GST-kanMX6	ori	rep_origin	2729..3317	-	589	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__AmpR__CDS__3491-4348_revcomp.fasta	pFA6a-GST-kanMX6|AmpR|CDS|3491..4348|strand=-|length=858bp	pFA6a-GST-kanMX6	AmpR	CDS	3491..4348	-	858	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__AmpR_promoter__promoter__4349-4453_revcomp.fasta	pFA6a-GST-kanMX6|AmpR promoter|promoter|4349..4453|strand=-|length=105bp	pFA6a-GST-kanMX6	AmpR promoter	promoter	4349..4453	-	105	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GST-kanMX6__SP6_promoter__promoter__4799-4815_plus.fasta	pFA6a-GST-kanMX6|SP6 promoter|promoter|4799..4815|strand=+|length=17bp	pFA6a-GST-kanMX6	SP6 promoter	promoter	4799..4815	+	17	NovoPro V010304/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
