record_kind	source_plasmid	feature_label	feature_type	start_1based	end_1based_inclusive	strand	length_bp	orientation_in_this_fasta	source_record_length_bp	source_page	sequence_file_url	notes
feature	pFA6a-GFP-S65T-kanMX6	ADH1 terminator	terminator	797	984	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4854	https://www.addgene.org/39292/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GFP-S65T-kanMX6.gb	
feature	pFA6a-GFP-S65T-kanMX6	kanMX	gene	1031	2387	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4854	https://www.addgene.org/39292/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GFP-S65T-kanMX6.gb	
feature	pFA6a-3HA-kanMX6	3xHA	CDS	69	158	+	90	feature orientation; if source strand is -, sequence was reverse-complemented	4248	https://www.addgene.org/39295/ ; https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-3HA-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-kanMX6.gb	
feature	pFA6a-3HA-kanMX6	ADH1 terminator	terminator	191	378	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4248	https://www.addgene.org/39295/ ; https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-3HA-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-kanMX6.gb	
feature	pFA6a-3HA-kanMX6	kanMX	gene	425	1781	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4248	https://www.addgene.org/39295/ ; https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-3HA-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-kanMX6.gb	
feature	pFA6a-13Myc-kanMX6	Myc	CDS	66	95	+	30	feature orientation; if source strand is -, sequence was reverse-complemented	4675	https://www.addgene.org/39294/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-13Myc-kanMX6.gb	
feature	pFA6a-13Myc-kanMX6	ADH1 terminator	terminator	618	805	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4675	https://www.addgene.org/39294/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-13Myc-kanMX6.gb	
feature	pFA6a-13Myc-kanMX6	kanMX	gene	852	2208	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4675	https://www.addgene.org/39294/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-13Myc-kanMX6.gb	
feature	pFA6a-5FLAG-kanMX6	5xFLAG	CDS	69	200	+	132	feature orientation; if source strand is -, sequence was reverse-complemented	4312	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-5FLAG-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-5FLAG-kanMX6.gb	
feature	pFA6a-5FLAG-kanMX6	ADH1 terminator	terminator	227	414	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4312	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-5FLAG-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-5FLAG-kanMX6.gb	
feature	pFA6a-5FLAG-kanMX6	kanMX	gene	489	1845	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4312	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-5FLAG-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-5FLAG-kanMX6.gb	
feature	pFA6a-GST-kanMX6	GST	CDS	63	716	+	654	feature orientation; if source strand is -, sequence was reverse-complemented	4815	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-GST-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GST-kanMX6.gb	
feature	pFA6a-GST-kanMX6	ADH1 terminator	terminator	758	945	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4815	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-GST-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GST-kanMX6.gb	
feature	pFA6a-GST-kanMX6	kanMX	gene	992	2348	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4815	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-GST-kanMX6	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GST-kanMX6.gb	
feature	pFA6a-3HA-His3MX6	3xHA	CDS	69	158	+	90	feature orientation; if source strand is -, sequence was reverse-complemented	4092	https://www.addgene.org/41600/ ; https://www.novoprolabs.com/vector/V10313	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-His3MX6.gb	
feature	pFA6a-3HA-His3MX6	ADH1 terminator	terminator	191	378	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4092	https://www.addgene.org/41600/ ; https://www.novoprolabs.com/vector/V10313	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-His3MX6.gb	
feature	pFA6a-3HA-His3MX6	HIS3MX6	gene	425	1625	+	1201	feature orientation; if source strand is -, sequence was reverse-complemented	4092	https://www.addgene.org/41600/ ; https://www.novoprolabs.com/vector/V10313	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-3HA-His3MX6.gb	
feature	pFA6a-kanMX6-PGAL1-GFP	ADH1 terminator	terminator	50	237	-	188	feature orientation; if source strand is -, sequence was reverse-complemented	5404	https://www.addgene.org/41605/ ; https://www.novoprolabs.com/vector/V10295	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6-PGAL1-GFP.gb	
feature	pFA6a-kanMX6-PGAL1-GFP	GFP (S65T)	CDS	261	971	-	711	feature orientation; if source strand is -, sequence was reverse-complemented	5404	https://www.addgene.org/41605/ ; https://www.novoprolabs.com/vector/V10295	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6-PGAL1-GFP.gb	
feature	pFA6a-kanMX6-PGAL1-GFP	GAL1 promoter	promoter	1006	1447	-	442	feature orientation; if source strand is -, sequence was reverse-complemented	5404	https://www.addgene.org/41605/ ; https://www.novoprolabs.com/vector/V10295	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6-PGAL1-GFP.gb	
feature	pFA6a-kanMX6-PGAL1-GFP	kanMX	gene	1581	2937	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	5404	https://www.addgene.org/41605/ ; https://www.novoprolabs.com/vector/V10295	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6-PGAL1-GFP.gb	
feature	pFA6a-His3MX6-PGAL1-GFP	ADH1 terminator	terminator	50	237	-	188	feature orientation; if source strand is -, sequence was reverse-complemented	5248	https://www.addgene.org/41616/ ; https://www.novoprolabs.com/vector/V10301	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-PGAL1-GFP.gb	
feature	pFA6a-His3MX6-PGAL1-GFP	GFP (S65T)	CDS	261	971	-	711	feature orientation; if source strand is -, sequence was reverse-complemented	5248	https://www.addgene.org/41616/ ; https://www.novoprolabs.com/vector/V10301	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-PGAL1-GFP.gb	
feature	pFA6a-His3MX6-PGAL1-GFP	GAL1 promoter	promoter	1006	1447	-	442	feature orientation; if source strand is -, sequence was reverse-complemented	5248	https://www.addgene.org/41616/ ; https://www.novoprolabs.com/vector/V10301	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-PGAL1-GFP.gb	
feature	pFA6a-His3MX6-PGAL1-GFP	HIS3MX6	gene	1581	2781	+	1201	feature orientation; if source strand is -, sequence was reverse-complemented	5248	https://www.addgene.org/41616/ ; https://www.novoprolabs.com/vector/V10301	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-PGAL1-GFP.gb	
feature	pFA6a-HA-KlURA3	HA	CDS	100	126	+	27	feature orientation; if source strand is -, sequence was reverse-complemented	4570	https://www.novoprolabs.com/vector/Vgyzdemi	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-HA-KlURA3.gb	
feature	pFA6a-HA-KlURA3	HA	CDS	133	159	+	27	feature orientation; if source strand is -, sequence was reverse-complemented	4570	https://www.novoprolabs.com/vector/Vgyzdemi	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-HA-KlURA3.gb	
feature	pFA6a-HA-KlURA3	URA3	CDS	807	1610	+	804	feature orientation; if source strand is -, sequence was reverse-complemented	4570	https://www.novoprolabs.com/vector/Vgyzdemi	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-HA-KlURA3.gb	
feature	pFA6a-HA-KlURA3	TEF terminator	terminator	1906	2103	+	198	feature orientation; if source strand is -, sequence was reverse-complemented	4570	https://www.novoprolabs.com/vector/Vgyzdemi	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-HA-KlURA3.gb	
feature	pFA6a-His3MX6-pGAL1-VN	HIS3MX6	gene	2470	3670	-	1201	feature orientation; if source strand is -, sequence was reverse-complemented	5099	https://www.novoprolabs.com/vector/Vgyzdgmi ; https://www.euroscarf.de/plasmid_details.php?accno=P30561	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-pGAL1-VN.gb	
feature	pFA6a-His3MX6-pGAL1-VN	GAL1 promoter	promoter	3804	4245	+	442	feature orientation; if source strand is -, sequence was reverse-complemented	5099	https://www.novoprolabs.com/vector/Vgyzdgmi ; https://www.euroscarf.de/plasmid_details.php?accno=P30561	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-pGAL1-VN.gb	
feature	pFA6a-His3MX6-pGAL1-VN	VN173	CDS	4295	4813	+	519	feature orientation; if source strand is -, sequence was reverse-complemented	5099	https://www.novoprolabs.com/vector/Vgyzdgmi ; https://www.euroscarf.de/plasmid_details.php?accno=P30561	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-pGAL1-VN.gb	
feature	pFA6a-His3MX6-pGAL1-VN	ADH1 terminator	terminator	4837	5024	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	5099	https://www.novoprolabs.com/vector/Vgyzdgmi ; https://www.euroscarf.de/plasmid_details.php?accno=P30561	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6-pGAL1-VN.gb	
feature	pUG6	loxP	protein_bind	53	86	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	4009	https://www.ncbi.nlm.nih.gov/nuccore/AF298793.1 ; https://www.novoprolabs.com/vector/V10292	https://www.novoprolabs.com/uploads/vector-maps/pUG6.gb	
feature	pUG6	kanMX	gene	141	1497	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	4009	https://www.ncbi.nlm.nih.gov/nuccore/AF298793.1 ; https://www.novoprolabs.com/vector/V10292	https://www.novoprolabs.com/uploads/vector-maps/pUG6.gb	
feature	pUG6	loxP site	misc_feature	1560	1593	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	4009	https://www.ncbi.nlm.nih.gov/nuccore/AF298793.1 ; https://www.novoprolabs.com/vector/V10292	https://www.novoprolabs.com/uploads/vector-maps/pUG6.gb	
feature	pUG27	loxP	protein_bind	53	86	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3850	https://www.novoprolabs.com/vector/Vgeydenbu	https://www.novoprolabs.com/uploads/vector-maps/pUG27.gb	
feature	pUG27	HIS3MX6	gene	141	1341	+	1201	feature orientation; if source strand is -, sequence was reverse-complemented	3850	https://www.novoprolabs.com/vector/Vgeydenbu	https://www.novoprolabs.com/uploads/vector-maps/pUG27.gb	
feature	pUG27	loxP site	misc_feature	1401	1434	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3850	https://www.novoprolabs.com/vector/Vgeydenbu	https://www.novoprolabs.com/uploads/vector-maps/pUG27.gb	
feature	pUG66	loxP	protein_bind	54	87	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3586	https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pUG66.gb	
feature	pUG66	TEF promoter	promoter	142	485	+	344	feature orientation; if source strand is -, sequence was reverse-complemented	3586	https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pUG66.gb	
feature	pUG66	ble	CDS	486	872	+	387	feature orientation; if source strand is -, sequence was reverse-complemented	3586	https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pUG66.gb	
feature	pUG66	TEF terminator	terminator	878	1075	+	198	feature orientation; if source strand is -, sequence was reverse-complemented	3586	https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pUG66.gb	
feature	pUG66	loxP site	misc_feature	1138	1171	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3586	https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pUG66.gb	
feature	pUG74	loxP	protein_bind	53	86	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3772	https://www.novoprolabs.com/vector/Vgeydgoya	https://www.novoprolabs.com/uploads/vector-maps/pUG74.gb	
feature	pUG74	natMX6	gene	141	1260	+	1120	feature orientation; if source strand is -, sequence was reverse-complemented	3772	https://www.novoprolabs.com/vector/Vgeydgoya	https://www.novoprolabs.com/uploads/vector-maps/pUG74.gb	
feature	pUG74	loxP site	misc_feature	1323	1356	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	3772	https://www.novoprolabs.com/vector/Vgeydgoya	https://www.novoprolabs.com/uploads/vector-maps/pUG74.gb	
feature	pUG75	loxP	protein_bind	53	86	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	4228	https://www.novoprolabs.com/vector/Vgeydgnne	https://www.novoprolabs.com/uploads/vector-maps/pUG75.gb	
feature	pUG75	hphMX6	gene	141	1716	+	1576	feature orientation; if source strand is -, sequence was reverse-complemented	4228	https://www.novoprolabs.com/vector/Vgeydgnne	https://www.novoprolabs.com/uploads/vector-maps/pUG75.gb	
feature	pUG75	loxP site	misc_feature	1779	1812	+	34	feature orientation; if source strand is -, sequence was reverse-complemented	4228	https://www.novoprolabs.com/vector/Vgeydgnne	https://www.novoprolabs.com/uploads/vector-maps/pUG75.gb	
feature	pYM25	yeGFP	CDS	82	795	+	714	feature orientation; if source strand is -, sequence was reverse-complemented	4905	https://www.novoprolabs.com/vector/V10199 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM25	https://www.novoprolabs.com/uploads/vector-maps/pYM25.gb	
feature	pYM25	TEF promoter	promoter	853	1196	+	344	feature orientation; if source strand is -, sequence was reverse-complemented	4905	https://www.novoprolabs.com/vector/V10199 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM25	https://www.novoprolabs.com/uploads/vector-maps/pYM25.gb	
feature	pYM25	HygR	CDS	1203	2222	+	1020	feature orientation; if source strand is -, sequence was reverse-complemented	4905	https://www.novoprolabs.com/vector/V10199 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM25	https://www.novoprolabs.com/uploads/vector-maps/pYM25.gb	
feature	pYM25	CYC1 terminator	terminator	2279	2468	+	190	feature orientation; if source strand is -, sequence was reverse-complemented	4905	https://www.novoprolabs.com/vector/V10199 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM25	https://www.novoprolabs.com/uploads/vector-maps/pYM25.gb	
feature	pYM26	yeGFP	CDS	82	795	+	714	feature orientation; if source strand is -, sequence was reverse-complemented	4298	https://www.snapgene.com/plasmids/yeast_plasmids/pYM26	https://www.novoprolabs.com/uploads/vector-maps/pYM26.gb	
feature	pYM26	Kluyveromyces lactis TRP1	CDS	886	1518	-	633	feature orientation; if source strand is -, sequence was reverse-complemented	4298	https://www.snapgene.com/plasmids/yeast_plasmids/pYM26	https://www.novoprolabs.com/uploads/vector-maps/pYM26.gb	
feature	pYM44	yeGFP	CDS	82	795	+	714	feature orientation; if source strand is -, sequence was reverse-complemented	4749	https://www.novoprolabs.com/vector/V10197 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM44	https://www.novoprolabs.com/uploads/vector-maps/pYM44.gb	
feature	pYM44	ADH1 terminator	terminator	820	1007	+	188	feature orientation; if source strand is -, sequence was reverse-complemented	4749	https://www.novoprolabs.com/vector/V10197 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM44	https://www.novoprolabs.com/uploads/vector-maps/pYM44.gb	
feature	pYM44	HIS3MX6	gene	1082	2282	+	1201	feature orientation; if source strand is -, sequence was reverse-complemented	4749	https://www.novoprolabs.com/vector/V10197 ; https://www.snapgene.com/plasmids/yeast_plasmids/pYM44	https://www.novoprolabs.com/uploads/vector-maps/pYM44.gb	
